time;model_id;model_name;port_name;data
0;123;890970;;2263735, 0, 0, 0, 0.00
0;124;889744;;2259748, 0, 0, 0, 0.00
0;125;889742;;2259746, 0, 0, 0, 0.00
0;126;889740;;2259744, 0, 0, 0, 0.00
0;127;889737;;2259741, 0, 0, 0, 0.00
0;128;889734;;2259738, 0, 0, 0, 0.00
0;129;889731;;2259735, 0, 0, 0, 0.00
0;130;889728;;2259732, 0, 0, 0, 0.00
0;131;892215;;2267737, 0, 0, 0, 0.00
0;132;889726;;2259730, 0, 0, 0, 0.00
0;133;889443;;2258756, 0, 0, 0, 0.00
0;134;892225;;2267747, 0, 0, 0, 0.00
0;135;891587;;2265731, 0, 0, 0, 0.00
0;136;889441;;2258754, 0, 0, 0, 0.00
0;137;890968;;2263733, 0, 0, 0, 0.00
0;138;889440;;2258753, 0, 0, 0, 0.00
0;139;889746;;2259750, 0, 0, 0, 0.00
0;140;889438;;2258751, 0, 0, 0, 0.00
0;141;889435;;2258748, 0, 0, 0, 0.00
0;142;892217;;2267739, 0, 0, 0, 0.00
0;143;891299;;2264754, 0, 0, 0, 0.00
0;144;889429;;2258742, 0, 0, 0, 0.00
0;145;889428;;2258741, 0, 0, 0, 0.00
0;146;892208;;2267730, 0, 0, 0, 0.00
0;147;889735;;2259739, 0, 0, 0, 0.00
0;148;889426;;2258739, 0, 0, 0, 0.00
0;149;889425;;2258738, 0, 0, 0, 0.00
0;150;889423;;2258736, 0, 0, 0, 0.00
0;151;889422;;2258735, 0, 0, 0, 0.00
0;152;889420;;2258733, 0, 0, 0, 0.00
0;153;889154;;2257756, 0, 0, 0, 0.00
0;154;889153;;2257755, 0, 0, 0, 0.00
0;155;892218;;2267740, 0, 0, 0, 0.00
0;156;889152;;2257754, 0, 0, 0, 0.00
0;157;889150;;2257752, 0, 0, 0, 0.00
0;158;889149;;2257751, 0, 0, 0, 0.00
0;159;889148;;2257750, 0, 0, 0, 0.00
0;160;890978;;2263743, 0, 0, 0, 0.00
0;161;889146;;2257748, 0, 0, 0, 0.00
0;162;889144;;2257746, 0, 0, 0, 0.00
0;163;889143;;2257745, 0, 0, 0, 0.00
0;164;892841;;2269739, 0, 0, 0, 0.00
0;165;889142;;2257744, 0, 0, 0, 0.00
0;166;890681;;2262756, 0, 0, 0, 0.00
0;167;889141;;2257743, 0, 0, 0, 0.00
0;168;891594;;2265738, 0, 0, 0, 0.00
0;169;889139;;2257741, 0, 0, 0, 0.00
0;170;889136;;2257738, 0, 0, 0, 0.00
0;171;892539;;2268749, 0, 0, 0, 0.00
0;172;889135;;2257737, 0, 0, 0, 0.00
0;173;889133;;2257735, 0, 0, 0, 0.00
0;174;889132;;2257734, 0, 0, 0, 0.00
0;175;889129;;2257731, 0, 0, 0, 0.00
0;176;891598;;2265742, 0, 0, 0, 0.00
0;177;888841;;2256752, 0, 0, 0, 0.00
0;178;888840;;2256751, 0, 0, 0, 0.00
0;179;888835;;2256746, 0, 0, 0, 0.00
0;180;888832;;2256743, 0, 0, 0, 0.00
0;181;888830;;2256741, 0, 0, 0, 0.00
0;182;888829;;2256740, 0, 0, 0, 0.00
0;183;888828;;2256739, 0, 0, 0, 0.00
0;184;888826;;2256737, 0, 0, 0, 0.00
0;185;888825;;2256736, 0, 0, 0, 0.00
0;186;890655;;2262730, 0, 0, 0, 0.00
0;187;890049;;2260744, 0, 0, 0, 0.00
0;188;890041;;2260736, 0, 0, 0, 0.00
0;189;888822;;2256733, 0, 0, 0, 0.00
0;190;888821;;2256732, 0, 0, 0, 0.00
0;191;888838;;2256749, 0, 0, 0, 0.00
0;192;888820;;2256731, 0, 0, 0, 0.00
0;193;889131;;2257733, 0, 0, 0, 0.00
0;194;888535;;2255754, 0, 0, 0, 0.00
0;195;888534;;2255753, 0, 0, 0, 0.00
0;196;888532;;2255751, 0, 0, 0, 0.00
0;197;888531;;2255750, 0, 0, 0, 0.00
0;198;888529;;2255748, 0, 0, 0, 0.00
0;199;888527;;2255746, 0, 0, 0, 0.00
0;200;888526;;2255745, 0, 0, 0, 0.00
0;201;888524;;2255743, 0, 0, 0, 0.00
0;202;891295;;2264750, 0, 0, 0, 0.00
0;203;888523;;2255742, 0, 0, 0, 0.00
0;204;890047;;2260742, 0, 0, 0, 0.00
0;205;888521;;2255740, 0, 0, 0, 0.00
0;206;888519;;2255738, 0, 0, 0, 0.00
0;207;888518;;2255737, 0, 0, 0, 0.00
0;208;890682;;2262757, 0, 0, 0, 0.00
0;209;888515;;2255734, 0, 0, 0, 0.00
0;210;888513;;2255732, 0, 0, 0, 0.00
0;211;888512;;2255731, 0, 0, 0, 0.00
0;212;888227;;2254754, 0, 0, 0, 0.00
0;213;888224;;2254751, 0, 0, 0, 0.00
0;214;888843;;2256754, 0, 0, 0, 0.00
0;215;888218;;2254745, 0, 0, 0, 0.00
0;216;888215;;2254742, 0, 0, 0, 0.00
0;217;890364;;2261749, 0, 0, 0, 0.00
0;218;888214;;2254741, 0, 0, 0, 0.00
0;219;888211;;2254738, 0, 0, 0, 0.00
0;220;891907;;2266740, 0, 0, 0, 0.00
0;221;888210;;2254737, 0, 0, 0, 0.00
0;222;893154;;2270740, 0, 0, 0, 0.00
0;223;888205;;2254732, 0, 0, 0, 0.00
0;224;888204;;2254731, 0, 0, 0, 0.00
0;225;888203;;2254730, 0, 0, 0, 0.00
0;226;887919;;2253754, 0, 0, 0, 0.00
0;227;887916;;2253751, 0, 0, 0, 0.00
0;228;887912;;2253747, 0, 0, 0, 0.00
0;229;891606;;2265750, 0, 0, 0, 0.00
0;230;887911;;2253746, 0, 0, 0, 0.00
0;231;891900;;2266733, 0, 0, 0, 0.00
0;232;889739;;2259743, 0, 0, 0, 0.00
0;233;889730;;2259734, 0, 0, 0, 0.00
0;234;887909;;2253744, 0, 0, 0, 0.00
0;235;887908;;2253743, 0, 0, 0, 0.00
0;236;887907;;2253742, 0, 0, 0, 0.00
0;237;891282;;2264737, 0, 0, 0, 0.00
0;238;887906;;2253741, 0, 0, 0, 0.00
0;239;887905;;2253740, 0, 0, 0, 0.00
0;240;887902;;2253737, 0, 0, 0, 0.00
0;241;887913;;2253748, 0, 0, 0, 0.00
0;242;887901;;2253736, 0, 0, 0, 0.00
0;243;887900;;2253735, 0, 0, 0, 0.00
0;244;887899;;2253734, 0, 0, 0, 0.00
0;245;887898;;2253733, 0, 0, 0, 0.00
0;246;887897;;2253732, 0, 0, 0, 0.00
0;247;891910;;2266743, 0, 0, 0, 0.00
0;248;887896;;2253731, 0, 0, 0, 0.00
0;249;887895;;2253730, 0, 0, 0, 0.00
0;250;890657;;2262732, 0, 0, 0, 0.00
