0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0,0,0,0
64;0,0,0,0
65;0,0,0,0
0
1,1;35070265,1,1
1;0
2,1;35070266,1,1
2;0
3,1;35070181,1,1
3;0
4,1;35070331,1,1
4;0
5,1;35070332,1,1
5;0
6,1;35070251,1,1
6;0
7,1;35070182,1,1
7;0
8,1;35070253,1,1
8;0
9,1;35070252,1,1
9;0
10,1;35070183,1,1
10;0
11,1;35070192,1,1
11;0
12,1;35070186,1,2
12;0
13,1;35070187,1,1
13;0
14,1;35070195,1,1
14;0
15,1;35070243,1,1
15;0
16,1;35070194,1,1
16;0
17,1;35070193,1,1
17;0
18,1;35070191,1,1
18;0
19,1;35070218,1,1
19;0
20,1;35070250,1,1
20;0
21,1;35070247,1,1
21;0
22,1;35070196,1,1
22;0
23,1;35070211,1,1
23;0
24,1;35070197,1,1
24;0
25,1;35070198,1,1
25;0
26,1;35070248,1,1
26;0
27,1;35070246,1,1
27;0
28,1;35070330,1,1
28;0
29,1;35070264,1,1
29;0
30,1;35070190,1,1
30;0
31,1;35070213,1,1
31;0
32,1;35070188,1,1
32;0
33,1;35070185,1,1
33;0
34,1;35070180,1,1
34;0
35,1;35070184,1,1
35;0
36,1;35070212,1,1
36;0
37,1;35070189,1,1
37;0
38,1;35070179,1,1
38;0
39,1;35070216,1,1
39;0
40,1;35070217,1,1
40;0
41,1;35070219,1,1
41;0
42,1;35070210,1,1
42;0
43,1;35070249,1,1
43;0
44,1;35070209,1,1
44;0
45,1;35070245,1,1
45;0
46,1;35070244,1,1
46;0
47,1;35070208,1,1
47;0
48,1;35070199,1,1
48;0
49,1;35070207,1,1
49;0
50,1;35070200,1,1
50;0
51,1;35070214,1,1
51;0
52,1;35070201,1,1
52;0
53,1;35070206,1,1
