0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0,0,0,0
77;0,0,0,0
78;0,0,0,0
79;0,0,0,0
0
1,1;24880051,1,1
1;0
2,1;24880053,1,1
2;0
3,1;24880052,1,1
3;0
4,1;24890070,1,1
4;0
5,1;24890069,1,1
5;0
6,1;24890154,1,1
6;0
7,1;24890169,1,1
7;0
8,1;24890085,1,1
8;0
9,1;24890086,1,1
9;0
10,1;24890087,1,1
10;0
11,1;24890088,1,1
11;0
12,1;24890089,1,1
12;0
13,1;24890090,1,1
13;0
14,1;24890091,1,1
14;0
15,1;24890079,1,1
15;0
16,1;24890080,1,1
16;0
17,1;24890081,1,1
17;0
18,1;24890159,1,1
18;0
19,1;24890164,1,1
19;0
20,1;24890082,1,1
20;0
21,1;24890083,1,1
21;0
22,1;24890084,1,1
22;0
23,1;24890092,1,1
23;0
24,1;24890093,1,1
24;0
25,1;24890109,1,1
25;0
26,1;24890110,1,1
26;0
27,1;24890165,1,1
27;0
28,1;24890166,1,1
28;0
29,1;24890161,1,1
29;0
30,1;24890168,1,1
30;0
31,1;24890133,1,1
31;0
32,1;24890135,1,1
32;0
33,1;24890134,1,1
33;0
34,1;24890132,1,1
34;0
35,1;24890131,1,1
35;0
36,1;24890136,1,1
36;0
37,1;24890123,1,1
37;0
38,1;24890126,1,1
38;0
39,1;24890157,1,1
39;0
40,1;24890130,1,1
40;0
41,1;24890129,1,1
41;0
42,1;24890128,1,1
42;0
43,1;24890127,1,1
43;0
44,1;24890124,1,1
44;0
45,1;24890125,1,1
45;0
46,1;24890119,1,1
46;0
47,1;24890158,1,1
47;0
48,1;24890118,1,1
48;0
49,1;24890160,1,1
